"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Тульская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,2303,1983,1855,1728
ВСЕГО (по всем формам собственности),        Тульская область,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,1132,968,922,879
ВСЕГО (по всем формам собственности),        Тульская область,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,655,640,629,582
ВСЕГО (по всем формам собственности),        Тульская область,ОБРАЗОВАНИЕ,,,1144,1136,1119,1109
ВСЕГО (по всем формам собственности),        Тульская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,577,571,571,585
ВСЕГО (по всем формам собственности),        Тульская область,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,510,478,484,494
ВСЕГО (по всем формам собственности),        Тульская область,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,1528,1432,1401,1358
ВСЕГО (по всем формам собственности),        Тульская область,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Тульская область,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Тульская область,Всего по обследуемым видам экономической деятельности,36236,34726,31786,27973,26276,24459
ВСЕГО (по всем формам собственности),        Ярославская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,1271,1169,1031,933
ВСЕГО (по всем формам собственности),        Ярославская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,1131,1035,900,802
ВСЕГО (по всем формам собственности),        Ярославская область,    Лесоводство и лесозаготовки,,,121,115,113,118
ВСЕГО (по всем формам собственности),        Ярославская область,            Лесозаготовки,,,51,54,51,58
ВСЕГО (по всем формам собственности),        Ярославская область,    Рыболовство и рыбоводство,,,19,19,18,13
ВСЕГО (по всем формам собственности),        Ярославская область,        Рыболовство,,,10,10,8,6
ВСЕГО (по всем формам собственности),        Ярославская область,        Рыбоводство,,,9,9,10,7
ВСЕГО (по всем формам собственности),        Ярославская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,96,97,96,91
ВСЕГО (по всем формам собственности),        Ярославская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,3405,3150,3013,2959
ВСЕГО (по всем формам собственности),        Ярославская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,18,16,15,15
ВСЕГО (по всем формам собственности),        Ярославская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,135,131,113,107
ВСЕГО (по всем формам собственности),        Ярославская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,210,196,180,187
ВСЕГО (по всем формам собственности),        Ярославская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,264,249,238,245
ВСЕГО (по всем формам собственности),        Ярославская область,СТРОИТЕЛЬСТВО,,,4896,4581,4512,4509
ВСЕГО (по всем формам собственности),        Ярославская область,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,10472,9092,8301,7937
ВСЕГО (по всем формам собственности),        Ярославская область,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,1662,1511,1385,1341
ВСЕГО (по всем формам собственности),        Ярославская область,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,6661,5697,5256,5052
ВСЕГО (по всем формам собственности),        Ярославская область,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,2149,1884,1660,1544
ВСЕГО (по всем формам собственности),        Ярославская область,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,1985,1856,1861,1923
ВСЕГО (по всем формам собственности),        Ярославская область,    Деятельность почтовой связи и курьерская деятельность,,,47,33,33,29
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,790,770,722,713
ВСЕГО (по всем формам собственности),        Ярославская область,    Деятельность по предоставлению продуктов питания и напитков,,,623,607,568,545
ВСЕГО (по всем формам собственности),        Ярославская область,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,70,69,67
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,933,858,802,838
ВСЕГО (по всем формам собственности),        Ярославская область,    Деятельность издательская,,,131,112,96,92
ВСЕГО (по всем формам собственности),        Ярославская область,    Деятельность в области телевизионного и радиовещания,,,44,39,39,35
ВСЕГО (по всем формам собственности),        Ярославская область,            Деятельность информационных агентств,,,25,22,23,19
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,451,400,381,351
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,3628,3541,3479,3439
ВСЕГО (по всем формам собственности),        Ярославская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,2549,2315,2221,2146
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,1419,1312,1254,1253
ВСЕГО (по всем формам собственности),        Ярославская область,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,607,597,594,597
ВСЕГО (по всем формам собственности),        Ярославская область,ОБРАЗОВАНИЕ,,,1255,1233,1217,1200
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,658,642,641,646
ВСЕГО (по всем формам собственности),        Ярославская область,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,744,737,730,736
ВСЕГО (по всем формам собственности),        Ярославская область,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,1860,1784,1706,1600
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,4,2,1,1
ВСЕГО (по всем формам собственности),        Ярославская область,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,3,2,2,3
ВСЕГО (по всем формам собственности),        Ярославская область,Всего по обследуемым видам экономической деятельности,45311,43730,37502,34584,32983,32308
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,2984,2561,2242,2161
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,2383,2081,1847,1763
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,    Лесоводство и лесозаготовки,,,406,315,244,240
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,            Лесозаготовки,,,171,118,93,98
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,    Рыболовство и рыбоводство,,,195,165,151,158
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,        Рыболовство,,,102,89,72,70
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,        Рыбоводство,,,93,76,79,88
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,1578,1472,1399,1368
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,40780,36581,33754,33465
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,212,189,169,166
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,        Деятельность полиграфическая и предоставление услуг в этой области,,,3560,3056,2635,2442
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,1644,1526,1414,1317
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,2333,2060,2036,1999
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,СТРОИТЕЛЬСТВО,,,86278,73782,66858,73745
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,263336,210899,174949,168734
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,19685,15855,13048,12361
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,198394,156801,129366,125231
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,45257,38243,32535,31142
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,35024,29737,26189,26806
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,    Деятельность почтовой связи и курьерская деятельность,,,1326,1239,1114,1046
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,17167,16598,15226,14594
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,    Деятельность по предоставлению продуктов питания и напитков,,,14365,13803,12690,12216
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,1395,1176,1128
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,38937,35855,34237,34893
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,    Деятельность издательская,,,5095,4436,3964,3591
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,    Деятельность в области телевизионного и радиовещания,,,1160,1061,939,846
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,            Деятельность информационных агентств,,,664,599,536,506
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,19793,18243,17433,17231
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,43361,42227,41051,40257
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,95766,85893,78018,75186
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,38481,33612,29419,28779
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,2303,2270,2230,2134
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ОБРАЗОВАНИЕ,,,7176,7048,6816,6533
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,10780,11022,11374,11616
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,11970,11422,10709,10181
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,24266,21982,20502,19360
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,48,39,35,32
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,46,44,45,29
ВСЕГО (по всем формам собственности),        Город Москва столица Российской Федерации город федерального значения,Всего по обследуемым видам экономической деятельности,1019176,913830,744057,644873,575936,570420
ВСЕГО (по всем формам собственности),        Республика Карелия,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,943,865,777,737
ВСЕГО (по всем формам собственности),        Республика Карелия,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,400,352,307,294
ВСЕГО (по всем формам собственности),        Республика Карелия,    Лесоводство и лесозаготовки,,,403,369,329,306
ВСЕГО (по всем формам собственности),        Республика Карелия,            Лесозаготовки,,,209,187,157,145
ВСЕГО (по всем формам собственности),        Республика Карелия,    Рыболовство и рыбоводство,,,140,144,141,137
ВСЕГО (по всем формам собственности),        Республика Карелия,        Рыболовство,,,45,42,37,38
ВСЕГО (по всем формам собственности),        Республика Карелия,        Рыбоводство,,,95,102,104,99
ВСЕГО (по всем формам собственности),        Республика Карелия,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,304,292,280,274
ВСЕГО (по всем формам собственности),        Республика Карелия,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,1362,1292,1242,1222
ВСЕГО (по всем формам собственности),        Республика Карелия,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,21,20,19,24
ВСЕГО (по всем формам собственности),        Республика Карелия,        Деятельность полиграфическая и предоставление услуг в этой области,,,31,31,29,27
ВСЕГО (по всем формам собственности),        Республика Карелия,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,172,162,146,128
ВСЕГО (по всем формам собственности),        Республика Карелия,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,175,161,137,130
ВСЕГО (по всем формам собственности),        Республика Карелия,СТРОИТЕЛЬСТВО,,,2089,2000,1868,1808
ВСЕГО (по всем формам собственности),        Республика Карелия,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,4463,4132,3736,3441
ВСЕГО (по всем формам собственности),        Республика Карелия,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,552,513,470,446
ВСЕГО (по всем формам собственности),        Республика Карелия,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,2312,2157,1937,1790
ВСЕГО (по всем формам собственности),        Республика Карелия,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,1599,1462,1329,1205
ВСЕГО (по всем формам собственности),        Республика Карелия,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,1797,1767,1647,1642
ВСЕГО (по всем формам собственности),        Республика Карелия,    Деятельность почтовой связи и курьерская деятельность,,,15,9,9,10
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,628,632,636,626
ВСЕГО (по всем формам собственности),        Республика Карелия,    Деятельность по предоставлению продуктов питания и напитков,,,462,451,434,399
ВСЕГО (по всем формам собственности),        Республика Карелия,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,75,69,67
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,420,396,366,362
ВСЕГО (по всем формам собственности),        Республика Карелия,    Деятельность издательская,,,65,59,46,40
ВСЕГО (по всем формам собственности),        Республика Карелия,    Деятельность в области телевизионного и радиовещания,,,33,32,29,27
ВСЕГО (по всем формам собственности),        Республика Карелия,            Деятельность информационных агентств,,,19,15,13,11
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,221,195,175,155
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,2036,1989,1833,1786
ВСЕГО (по всем формам собственности),        Республика Карелия,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,1162,1104,1013,959
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,787,761,714,695
ВСЕГО (по всем формам собственности),        Республика Карелия,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,555,540,517,517
ВСЕГО (по всем формам собственности),        Республика Карелия,ОБРАЗОВАНИЕ,,,637,589,562,537
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,287,290,286,273
ВСЕГО (по всем формам собственности),        Республика Карелия,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,453,457,443,428
ВСЕГО (по всем формам собственности),        Республика Карелия,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,1457,1423,1372,1352
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,1,0,0,0
ВСЕГО (по всем формам собственности),        Республика Карелия,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Республика Карелия,Всего по обследуемым видам экономической деятельности,23816,21406,19993,19073,17766,17083
ВСЕГО (по всем формам собственности),        Республика Коми,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,643,570,513,480
ВСЕГО (по всем формам собственности),        Республика Коми,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,289,267,261,256
ВСЕГО (по всем формам собственности),        Республика Коми,    Лесоводство и лесозаготовки,,,333,285,234,208
ВСЕГО (по всем формам собственности),        Республика Коми,            Лесозаготовки,,,181,155,122,108
ВСЕГО (по всем формам собственности),        Республика Коми,    Рыболовство и рыбоводство,,,21,18,18,16
ВСЕГО (по всем формам собственности),        Республика Коми,        Рыболовство,,,11,9,9,8
ВСЕГО (по всем формам собственности),        Республика Коми,        Рыбоводство,,,10,9,9,8
ВСЕГО (по всем формам собственности),        Республика Коми,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,187,183,180,190
ВСЕГО (по всем формам собственности),        Республика Коми,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,838,764,679,625
ВСЕГО (по всем формам собственности),        Республика Коми,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,8,7,5,4
ВСЕГО (по всем формам собственности),        Республика Коми,        Деятельность полиграфическая и предоставление услуг в этой области,,,57,46,43,36
ВСЕГО (по всем формам собственности),        Республика Коми,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,109,101,90,87
ВСЕГО (по всем формам собственности),        Республика Коми,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,104,107,93,92
ВСЕГО (по всем формам собственности),        Республика Коми,СТРОИТЕЛЬСТВО,,,1772,1654,1411,1253
ВСЕГО (по всем формам собственности),        Республика Коми,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,3733,3338,2842,2499
ВСЕГО (по всем формам собственности),        Республика Коми,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,385,351,299,278
ВСЕГО (по всем формам собственности),        Республика Коми,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,1722,1496,1228,1051
ВСЕГО (по всем формам собственности),        Республика Коми,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,1626,1491,1315,1170
ВСЕГО (по всем формам собственности),        Республика Коми,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,1288,1212,1080,1010
ВСЕГО (по всем формам собственности),        Республика Коми,    Деятельность почтовой связи и курьерская деятельность,,,24,17,17,19
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,489,510,483,461
ВСЕГО (по всем формам собственности),        Республика Коми,    Деятельность по предоставлению продуктов питания и напитков,,,427,457,429,411
ВСЕГО (по всем формам собственности),        Республика Коми,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,51,49,47
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,444,414,355,341
ВСЕГО (по всем формам собственности),        Республика Коми,    Деятельность издательская,,,85,77,57,55
