"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Белгородская область,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Белгородская область,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Белгородская область,Всего по обследуемым видам экономической деятельности,38241,36789,33090,30663,27749,26423
ВСЕГО (по всем формам собственности),        Брянская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,730,664,626,579
ВСЕГО (по всем формам собственности),        Брянская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,628,569,542,506
ВСЕГО (по всем формам собственности),        Брянская область,    Лесоводство и лесозаготовки,,,86,81,71,61
ВСЕГО (по всем формам собственности),        Брянская область,            Лесозаготовки,,,32,34,28,24
ВСЕГО (по всем формам собственности),        Брянская область,    Рыболовство и рыбоводство,,,16,14,13,12
ВСЕГО (по всем формам собственности),        Брянская область,        Рыболовство,,,6,5,5,4
ВСЕГО (по всем формам собственности),        Брянская область,        Рыбоводство,,,10,9,8,8
ВСЕГО (по всем формам собственности),        Брянская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,46,51,52,55
ВСЕГО (по всем формам собственности),        Брянская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,1568,1465,1352,1312
ВСЕГО (по всем формам собственности),        Брянская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,6,6,5,5
ВСЕГО (по всем формам собственности),        Брянская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,55,50,47,45
ВСЕГО (по всем формам собственности),        Брянская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,104,95,86,80
ВСЕГО (по всем формам собственности),        Брянская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,173,156,136,124
ВСЕГО (по всем формам собственности),        Брянская область,СТРОИТЕЛЬСТВО,,,1827,1645,1481,1372
ВСЕГО (по всем формам собственности),        Брянская область,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,4876,4307,3853,3620
ВСЕГО (по всем формам собственности),        Брянская область,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,388,345,308,305
ВСЕГО (по всем формам собственности),        Брянская область,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,3210,2842,2525,2363
ВСЕГО (по всем формам собственности),        Брянская область,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,1278,1120,1020,952
ВСЕГО (по всем формам собственности),        Брянская область,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,1051,969,925,907
ВСЕГО (по всем формам собственности),        Брянская область,    Деятельность почтовой связи и курьерская деятельность,,,29,14,13,14
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,413,387,350,326
ВСЕГО (по всем формам собственности),        Брянская область,    Деятельность по предоставлению продуктов питания и напитков,,,355,331,298,282
ВСЕГО (по всем формам собственности),        Брянская область,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,41,33,30
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,471,438,412,413
ВСЕГО (по всем формам собственности),        Брянская область,    Деятельность издательская,,,75,66,61,55
ВСЕГО (по всем формам собственности),        Брянская область,    Деятельность в области телевизионного и радиовещания,,,33,35,32,29
ВСЕГО (по всем формам собственности),        Брянская область,            Деятельность информационных агентств,,,7,6,3,3
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,162,137,127,115
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,1396,1294,1238,1171
ВСЕГО (по всем формам собственности),        Брянская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,1030,973,900,870
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,497,464,446,432
ВСЕГО (по всем формам собственности),        Брянская область,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,1086,1042,982,957
ВСЕГО (по всем формам собственности),        Брянская область,ОБРАЗОВАНИЕ,,,1160,1137,1133,1118
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,399,408,412,405
ВСЕГО (по всем формам собственности),        Брянская область,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,307,308,310,305
ВСЕГО (по всем формам собственности),        Брянская область,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,1048,1012,983,964
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Брянская область,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Брянская область,Всего по обследуемым видам экономической деятельности,20772,19751,18344,16952,15804,15125
ВСЕГО (по всем формам собственности),        Владимирская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,1166,1103,1058,1060
ВСЕГО (по всем формам собственности),        Владимирская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,1046,991,956,961
ВСЕГО (по всем формам собственности),        Владимирская область,    Лесоводство и лесозаготовки,,,96,88,80,78
ВСЕГО (по всем формам собственности),        Владимирская область,            Лесозаготовки,,,37,36,32,32
ВСЕГО (по всем формам собственности),        Владимирская область,    Рыболовство и рыбоводство,,,24,24,22,21
ВСЕГО (по всем формам собственности),        Владимирская область,        Рыболовство,,,9,9,8,7
ВСЕГО (по всем формам собственности),        Владимирская область,        Рыбоводство,,,15,15,14,14
ВСЕГО (по всем формам собственности),        Владимирская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,105,103,112,112
ВСЕГО (по всем формам собственности),        Владимирская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,3484,3242,3007,2917
ВСЕГО (по всем формам собственности),        Владимирская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,30,27,27,29
ВСЕГО (по всем формам собственности),        Владимирская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,72,65,61,55
ВСЕГО (по всем формам собственности),        Владимирская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,258,243,236,214
ВСЕГО (по всем формам собственности),        Владимирская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,260,243,223,208
ВСЕГО (по всем формам собственности),        Владимирская область,СТРОИТЕЛЬСТВО,,,2723,2425,2183,2097
ВСЕГО (по всем формам собственности),        Владимирская область,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,6980,6071,5335,5071
ВСЕГО (по всем формам собственности),        Владимирская область,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,593,502,460,440
ВСЕГО (по всем формам собственности),        Владимирская область,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,4034,3494,3085,2955
ВСЕГО (по всем формам собственности),        Владимирская область,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,2353,2075,1790,1676
ВСЕГО (по всем формам собственности),        Владимирская область,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,1134,1052,1000,977
ВСЕГО (по всем формам собственности),        Владимирская область,    Деятельность почтовой связи и курьерская деятельность,,,32,19,17,14
ВСЕГО (по всем формам собственности),        Владимирская область,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,792,725,663,630
ВСЕГО (по всем формам собственности),        Владимирская область,    Деятельность по предоставлению продуктов питания и напитков,,,673,610,555,523
ВСЕГО (по всем формам собственности),        Владимирская область,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,46,41,39
ВСЕГО (по всем формам собственности),        Владимирская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,680,633,610,633
ВСЕГО (по всем формам собственности),        Владимирская область,    Деятельность издательская,,,79,72,65,65
ВСЕГО (по всем формам собственности),        Владимирская область,    Деятельность в области телевизионного и радиовещания,,,65,74,68,68
ВСЕГО (по всем формам собственности),        Владимирская область,            Деятельность информационных агентств,,,17,19,16,17
ВСЕГО (по всем формам собственности),        Владимирская область,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,515,465,460,407
ВСЕГО (по всем формам собственности),        Владимирская область,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,4319,4138,3975,3900
ВСЕГО (по всем формам собственности),        Владимирская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,1959,1771,1665,1617
